date,price,spread_to_price
2015-07-14,129.371171029,0.000501214837386
2015-07-15,122.146450584,0.000501007120073
2015-07-16,139.774805336,0.000545681308575
2015-07-17,175.415745356,0.000472869069373
2015-07-20,172.783398286,0.000633172977871
2015-07-21,142.003792948,0.000501489877794
2015-07-22,130.288526126,0.000489092231427
2015-07-23,127.115763164,0.000538683531498
2015-07-24,156.138826429,0.000534711247857
2015-07-27,142.702090605,0.00052966300488
2015-07-28,145.589386353,0.000528043010165
2015-07-29,112.392590273,0.000560715822884
2015-07-30,118.480477709,0.00057184110642
2015-07-31,128.998675111,0.000517918960302
2015-08-03,129.140232022,0.000573362065688
2015-08-04,125.616135585,0.0147622978452
2015-08-05,142.899154944,0.000584812842037
2015-08-06,126.213891485,0.000613903090129
2015-08-07,118.591123699,0.000612334878638
